,away_name,away_abbr,home_name,home_abbr,winning_name,winning_abbr,week,year
0,Minnesota Vikings,min,New Orleans Saints,nor,New Orleans Saints,nor,1,2010
1,Detroit Lions,det,Chicago Bears,chi,Chicago Bears,chi,1,2010
2,Miami Dolphins,mia,Buffalo Bills,buf,Miami Dolphins,mia,1,2010
3,Cleveland Browns,cle,Tampa Bay Buccaneers,tam,Tampa Bay Buccaneers,tam,1,2010
4,Atlanta Falcons,atl,Pittsburgh Steelers,pit,Pittsburgh Steelers,pit,1,2010
5,Las Vegas Raiders,rai,Tennessee Titans,oti,Tennessee Titans,oti,1,2010
6,Cincinnati Bengals,cin,New England Patriots,nwe,New England Patriots,nwe,1,2010
7,Indianapolis Colts,clt,Houston Texans,htx,Houston Texans,htx,1,2010
8,Denver Broncos,den,Jacksonville Jaguars,jax,Jacksonville Jaguars,jax,1,2010
9,Carolina Panthers,car,New York Giants,nyg,New York Giants,nyg,1,2010
10,Arizona Cardinals,crd,Los Angeles Rams,ram,Arizona Cardinals,crd,1,2010
11,San Francisco 49ers,sfo,Seattle Seahawks,sea,Seattle Seahawks,sea,1,2010
12,Green Bay Packers,gnb,Philadelphia Eagles,phi,Green Bay Packers,gnb,1,2010
13,Dallas Cowboys,dal,Washington Football Team,was,Washington Football Team,was,1,2010
14,Baltimore Ravens,rav,New York Jets,nyj,Baltimore Ravens,rav,1,2010
15,Los Angeles Chargers,sdg,Kansas City Chiefs,kan,Kansas City Chiefs,kan,1,2010
16,Baltimore Ravens,rav,Cincinnati Bengals,cin,Cincinnati Bengals,cin,2,2010
17,Pittsburgh Steelers,pit,Tennessee Titans,oti,Pittsburgh Steelers,pit,2,2010
18,Buffalo Bills,buf,Green Bay Packers,gnb,Green Bay Packers,gnb,2,2010
19,Philadelphia Eagles,phi,Detroit Lions,det,Philadelphia Eagles,phi,2,2010
20,Kansas City Chiefs,kan,Cleveland Browns,cle,Kansas City Chiefs,kan,2,2010
21,Tampa Bay Buccaneers,tam,Carolina Panthers,car,Tampa Bay Buccaneers,tam,2,2010
22,Arizona Cardinals,crd,Atlanta Falcons,atl,Atlanta Falcons,atl,2,2010
